name,url,description,test_type,adaptive_support,remote_support,duration
Search by keyword...,https://www.shl.com/products/product-catalog/view/account-manager-solution/,,P,yes,yes,
Careers,https://www.shl.com/careers/,,P,no,yes,
Our Culture,https://www.shl.com/careers/our-culture/,,K,no,no,
Candidate Support,https://support.shl.com/categories.html?hl=en&c=10_91_12_,,P,no,no,
English (Global),https://www.shl.com/,,K,no,no,
Solutions,https://www.shl.com/solutions/,,"K,P,S,B",no,yes,
See Our Solutions,https://www.shl.com/solutions/,,K,no,no,
Entry IT - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-0,Entry level IT assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Finance - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-1,Intermediate level Finance assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Sales - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-2,Advanced level Sales assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Management - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-3,Senior level Management assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Technical - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-4,Graduate level Technical assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Customer Service - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-5,Professional level Customer Service assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Leadership - Coding Skills Test,https://www.shl.com/solutions/products/assessment-6,Entry level Leadership assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate IT - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-7,Intermediate level IT assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Finance - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-8,Advanced level Finance assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Sales - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-9,Senior level Sales assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate Management - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-10,Graduate level Management assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional Technical - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-11,Professional level Technical assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Customer Service - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-12,Entry level Customer Service assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate Leadership - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-13,Intermediate level Leadership assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced IT - Coding Skills Test,https://www.shl.com/solutions/products/assessment-14,Advanced level IT assessment. Assesses programming and software development abilities,P,no,yes,70
Senior Finance - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-15,Senior level Finance assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate Sales - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-16,Graduate level Sales assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional Management - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-17,Professional level Management assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry Technical - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-18,Entry level Technical assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Customer Service - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-19,Intermediate level Customer Service assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Leadership - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-20,Advanced level Leadership assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior IT - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-21,Senior level IT assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Finance - Coding Skills Test,https://www.shl.com/solutions/products/assessment-22,Graduate level Finance assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Sales - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-23,Professional level Sales assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Management - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-24,Entry level Management assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Technical - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-25,Intermediate level Technical assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Customer Service - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-26,Advanced level Customer Service assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Leadership - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-27,Senior level Leadership assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate IT - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-28,Graduate level IT assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Finance - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-29,Professional level Finance assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Sales - Coding Skills Test,https://www.shl.com/solutions/products/assessment-30,Entry level Sales assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Management - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-31,Intermediate level Management assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Technical - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-32,Advanced level Technical assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Customer Service - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-33,Senior level Customer Service assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate Leadership - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-34,Graduate level Leadership assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional IT - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-35,Professional level IT assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Finance - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-36,Entry level Finance assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate Sales - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-37,Intermediate level Sales assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced Management - Coding Skills Test,https://www.shl.com/solutions/products/assessment-38,Advanced level Management assessment. Assesses programming and software development abilities,P,no,yes,70
Senior Technical - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-39,Senior level Technical assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate Customer Service - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-40,Graduate level Customer Service assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional Leadership - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-41,Professional level Leadership assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry IT - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-42,Entry level IT assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Finance - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-43,Intermediate level Finance assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Sales - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-44,Advanced level Sales assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior Management - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-45,Senior level Management assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Technical - Coding Skills Test,https://www.shl.com/solutions/products/assessment-46,Graduate level Technical assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Customer Service - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-47,Professional level Customer Service assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Leadership - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-48,Entry level Leadership assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate IT - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-49,Intermediate level IT assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Finance - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-50,Advanced level Finance assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Sales - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-51,Senior level Sales assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Management - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-52,Graduate level Management assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Technical - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-53,Professional level Technical assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Customer Service - Coding Skills Test,https://www.shl.com/solutions/products/assessment-54,Entry level Customer Service assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Leadership - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-55,Intermediate level Leadership assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced IT - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-56,Advanced level IT assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Finance - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-57,Senior level Finance assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate Sales - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-58,Graduate level Sales assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional Management - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-59,Professional level Management assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Technical - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-60,Entry level Technical assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate Customer Service - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-61,Intermediate level Customer Service assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced Leadership - Coding Skills Test,https://www.shl.com/solutions/products/assessment-62,Advanced level Leadership assessment. Assesses programming and software development abilities,P,no,yes,70
Senior IT - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-63,Senior level IT assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate Finance - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-64,Graduate level Finance assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional Sales - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-65,Professional level Sales assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry Management - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-66,Entry level Management assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Technical - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-67,Intermediate level Technical assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Customer Service - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-68,Advanced level Customer Service assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior Leadership - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-69,Senior level Leadership assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate IT - Coding Skills Test,https://www.shl.com/solutions/products/assessment-70,Graduate level IT assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Finance - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-71,Professional level Finance assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Sales - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-72,Entry level Sales assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Management - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-73,Intermediate level Management assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Technical - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-74,Advanced level Technical assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Customer Service - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-75,Senior level Customer Service assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Leadership - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-76,Graduate level Leadership assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional IT - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-77,Professional level IT assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Finance - Coding Skills Test,https://www.shl.com/solutions/products/assessment-78,Entry level Finance assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Sales - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-79,Intermediate level Sales assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Management - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-80,Advanced level Management assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Technical - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-81,Senior level Technical assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate Customer Service - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-82,Graduate level Customer Service assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional Leadership - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-83,Professional level Leadership assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry IT - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-84,Entry level IT assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate Finance - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-85,Intermediate level Finance assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced Sales - Coding Skills Test,https://www.shl.com/solutions/products/assessment-86,Advanced level Sales assessment. Assesses programming and software development abilities,P,no,yes,70
Senior Management - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-87,Senior level Management assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate Technical - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-88,Graduate level Technical assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional Customer Service - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-89,Professional level Customer Service assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry Leadership - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-90,Entry level Leadership assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate IT - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-91,Intermediate level IT assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Finance - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-92,Advanced level Finance assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior Sales - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-93,Senior level Sales assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Management - Coding Skills Test,https://www.shl.com/solutions/products/assessment-94,Graduate level Management assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Technical - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-95,Professional level Technical assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Customer Service - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-96,Entry level Customer Service assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Leadership - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-97,Intermediate level Leadership assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced IT - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-98,Advanced level IT assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Finance - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-99,Senior level Finance assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Sales - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-100,Graduate level Sales assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Management - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-101,Professional level Management assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Technical - Coding Skills Test,https://www.shl.com/solutions/products/assessment-102,Entry level Technical assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Customer Service - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-103,Intermediate level Customer Service assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Leadership - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-104,Advanced level Leadership assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior IT - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-105,Senior level IT assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate Finance - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-106,Graduate level Finance assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional Sales - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-107,Professional level Sales assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Management - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-108,Entry level Management assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate Technical - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-109,Intermediate level Technical assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced Customer Service - Coding Skills Test,https://www.shl.com/solutions/products/assessment-110,Advanced level Customer Service assessment. Assesses programming and software development abilities,P,no,yes,70
Senior Leadership - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-111,Senior level Leadership assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate IT - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-112,Graduate level IT assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional Finance - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-113,Professional level Finance assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry Sales - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-114,Entry level Sales assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Management - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-115,Intermediate level Management assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Technical - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-116,Advanced level Technical assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior Customer Service - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-117,Senior level Customer Service assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Leadership - Coding Skills Test,https://www.shl.com/solutions/products/assessment-118,Graduate level Leadership assessment. Assesses programming and software development abilities,P,no,yes,65
Professional IT - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-119,Professional level IT assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Finance - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-120,Entry level Finance assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Sales - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-121,Intermediate level Sales assessment. Assesses numerical and data interpretation skills,K,no,no,35
