name,url,description,test_type,adaptive_support,remote_support,duration
Advanced Management - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-122,Advanced level Management assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Technical - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-123,Senior level Technical assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Customer Service - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-124,Graduate level Customer Service assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Leadership - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-125,Professional level Leadership assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry IT - Coding Skills Test,https://www.shl.com/solutions/products/assessment-126,Entry level IT assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Finance - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-127,Intermediate level Finance assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Sales - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-128,Advanced level Sales assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Management - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-129,Senior level Management assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate Technical - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-130,Graduate level Technical assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional Customer Service - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-131,Professional level Customer Service assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Leadership - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-132,Entry level Leadership assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate IT - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-133,Intermediate level IT assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced Finance - Coding Skills Test,https://www.shl.com/solutions/products/assessment-134,Advanced level Finance assessment. Assesses programming and software development abilities,P,no,yes,70
Senior Sales - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-135,Senior level Sales assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate Management - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-136,Graduate level Management assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional Technical - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-137,Professional level Technical assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry Customer Service - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-138,Entry level Customer Service assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Leadership - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-139,Intermediate level Leadership assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced IT - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-140,Advanced level IT assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior Finance - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-141,Senior level Finance assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Sales - Coding Skills Test,https://www.shl.com/solutions/products/assessment-142,Graduate level Sales assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Management - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-143,Professional level Management assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Technical - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-144,Entry level Technical assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Customer Service - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-145,Intermediate level Customer Service assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Leadership - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-146,Advanced level Leadership assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior IT - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-147,Senior level IT assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Finance - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-148,Graduate level Finance assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Sales - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-149,Professional level Sales assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Management - Coding Skills Test,https://www.shl.com/solutions/products/assessment-150,Entry level Management assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Technical - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-151,Intermediate level Technical assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Customer Service - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-152,Advanced level Customer Service assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Leadership - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-153,Senior level Leadership assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate IT - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-154,Graduate level IT assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional Finance - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-155,Professional level Finance assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Sales - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-156,Entry level Sales assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate Management - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-157,Intermediate level Management assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced Technical - Coding Skills Test,https://www.shl.com/solutions/products/assessment-158,Advanced level Technical assessment. Assesses programming and software development abilities,P,no,yes,70
Senior Customer Service - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-159,Senior level Customer Service assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate Leadership - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-160,Graduate level Leadership assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional IT - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-161,Professional level IT assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry Finance - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-162,Entry level Finance assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Sales - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-163,Intermediate level Sales assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Management - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-164,Advanced level Management assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior Technical - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-165,Senior level Technical assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Customer Service - Coding Skills Test,https://www.shl.com/solutions/products/assessment-166,Graduate level Customer Service assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Leadership - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-167,Professional level Leadership assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry IT - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-168,Entry level IT assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Finance - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-169,Intermediate level Finance assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Sales - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-170,Advanced level Sales assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Management - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-171,Senior level Management assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Technical - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-172,Graduate level Technical assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Customer Service - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-173,Professional level Customer Service assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Leadership - Coding Skills Test,https://www.shl.com/solutions/products/assessment-174,Entry level Leadership assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate IT - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-175,Intermediate level IT assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Finance - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-176,Advanced level Finance assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Sales - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-177,Senior level Sales assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate Management - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-178,Graduate level Management assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional Technical - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-179,Professional level Technical assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Customer Service - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-180,Entry level Customer Service assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate Leadership - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-181,Intermediate level Leadership assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced IT - Coding Skills Test,https://www.shl.com/solutions/products/assessment-182,Advanced level IT assessment. Assesses programming and software development abilities,P,no,yes,70
Senior Finance - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-183,Senior level Finance assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate Sales - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-184,Graduate level Sales assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional Management - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-185,Professional level Management assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry Technical - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-186,Entry level Technical assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Customer Service - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-187,Intermediate level Customer Service assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Leadership - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-188,Advanced level Leadership assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior IT - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-189,Senior level IT assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Finance - Coding Skills Test,https://www.shl.com/solutions/products/assessment-190,Graduate level Finance assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Sales - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-191,Professional level Sales assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Management - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-192,Entry level Management assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Technical - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-193,Intermediate level Technical assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Customer Service - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-194,Advanced level Customer Service assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Leadership - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-195,Senior level Leadership assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate IT - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-196,Graduate level IT assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Finance - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-197,Professional level Finance assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Sales - Coding Skills Test,https://www.shl.com/solutions/products/assessment-198,Entry level Sales assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Management - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-199,Intermediate level Management assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Technical - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-200,Advanced level Technical assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Customer Service - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-201,Senior level Customer Service assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate Leadership - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-202,Graduate level Leadership assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional IT - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-203,Professional level IT assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Finance - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-204,Entry level Finance assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate Sales - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-205,Intermediate level Sales assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced Management - Coding Skills Test,https://www.shl.com/solutions/products/assessment-206,Advanced level Management assessment. Assesses programming and software development abilities,P,no,yes,70
Senior Technical - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-207,Senior level Technical assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate Customer Service - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-208,Graduate level Customer Service assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional Leadership - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-209,Professional level Leadership assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry IT - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-210,Entry level IT assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Finance - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-211,Intermediate level Finance assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Sales - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-212,Advanced level Sales assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior Management - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-213,Senior level Management assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Technical - Coding Skills Test,https://www.shl.com/solutions/products/assessment-214,Graduate level Technical assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Customer Service - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-215,Professional level Customer Service assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Leadership - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-216,Entry level Leadership assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate IT - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-217,Intermediate level IT assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Finance - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-218,Advanced level Finance assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Sales - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-219,Senior level Sales assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Management - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-220,Graduate level Management assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Technical - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-221,Professional level Technical assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Customer Service - Coding Skills Test,https://www.shl.com/solutions/products/assessment-222,Entry level Customer Service assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Leadership - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-223,Intermediate level Leadership assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced IT - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-224,Advanced level IT assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Finance - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-225,Senior level Finance assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate Sales - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-226,Graduate level Sales assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional Management - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-227,Professional level Management assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Technical - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-228,Entry level Technical assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate Customer Service - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-229,Intermediate level Customer Service assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced Leadership - Coding Skills Test,https://www.shl.com/solutions/products/assessment-230,Advanced level Leadership assessment. Assesses programming and software development abilities,P,no,yes,70
Senior IT - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-231,Senior level IT assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate Finance - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-232,Graduate level Finance assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional Sales - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-233,Professional level Sales assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry Management - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-234,Entry level Management assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Technical - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-235,Intermediate level Technical assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Customer Service - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-236,Advanced level Customer Service assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior Leadership - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-237,Senior level Leadership assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate IT - Coding Skills Test,https://www.shl.com/solutions/products/assessment-238,Graduate level IT assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Finance - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-239,Professional level Finance assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Sales - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-240,Entry level Sales assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Management - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-241,Intermediate level Management assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Technical - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-242,Advanced level Technical assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Customer Service - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-243,Senior level Customer Service assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Leadership - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-244,Graduate level Leadership assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
